id	neighbourhood
11140302	Greenpoint
8518878	Bushwick
8125640	
7601357	West Village
13630666	
11533501	Crown Heights
13893494	Chelsea
14154945	Hell's Kitchen
14420347	Williamsburg
2227377	Gramercy Park
7470253	Cobble Hill
9174180	Brooklyn Heights
9436311	Times Square/Theatre District
9436315	Bushwick
12796744	
261259	West Village
10878090	Chelsea
6552692	Alphabet City
10615941	Chinatown
12713090	West Village
5635192	Upper East Side
9960561	Upper West Side
8125552	
12364305	Williamsburg
2882666	Upper West Side
392260	Midtown East
12188768	Midtown
1309794	Upper West Side
2489407	Upper East Side
43533	Ditmars / Steinway
14548062	
261194	Bedford-Stuyvesant
327521	East Village
12844102	East Village
305670	Upper West Side
916514	Hell's Kitchen
4324399	Williamsburg
7470123	Williamsburg
3013668	Bushwick
545949	North Williamsburg
1309707	East Village
14416917	Greenwich Village
11402245	Hamilton Heights
14547982	Williamsburg
1702916	Upper East Side
4587349	Park Slope
12450817	Fort Greene
1990201	Downtown Brooklyn
12319735	Boerum Hill
13687101	Upper East Side
8554425	Meatpacking District
14285789	
10614478	
4586448	East Village
785366	Astoria
13237190	
15072191	East Flatbush
3799995	
9698250	Williamsburg
14614344	
13980828	Bedford-Stuyvesant
10091438	
9173925	Upper West Side
654232	Alphabet City
14416791	
4717440	Lower East Side
7468695	Financial District
12973694	East Harlem
12973925	East Harlem
13216022	Chelsea
13235840	Upper West Side
11531899	Harlem
14415485	
7075449	Bushwick
14708352	
10209403	Downtown Brooklyn
11708688	Concourse
2487916	Upper East Side
2343665	Forest Hills
13891181	Bedford-Stuyvesant
915020	Park Slope
12973657	Harlem
5371463	Bedford-Stuyvesant
4259427	Crown Heights
6026840	Alphabet City
13366865	
521806	Rego Park
3929669	Greenpoint
4978241	Harlem
14808643	
2487848	Williamsburg
2487851	Williamsburg
11138618	Gowanus
4716086	Greenpoint
2112344	Bushwick
4453929	Downtown Brooklyn
652750	Lower East Side
7361457	Bedford-Stuyvesant
9698905	Carroll Gardens
14153233	West Village
14153229	Crown Heights
652812	Upper West Side
4412332	Upper East Side
7599621	Greenpoint
7206401	Inwood
14808575	Lower East Side
1439162	Bedford-Stuyvesant
1439228	Flatbush
521672	Williamsburg
4584944	Williamsburg
1308155	Bedford-Stuyvesant
9696749	Murray Hill
8517102	
15201756	Crown Heights
12055937	Lower East Side
12056132	Lower East Side
12056113	Lower East Side
12056095	Lower East Side
14153066	Times Square/Theatre District
6813041	Fort Greene
9303400	Chinatown
9434464	Harlem
8516966	
1832286	Greenpoint
2356562	Midtown
2880836	Brooklyn Heights
4322619	Sunnyside
5502264	
9172277	Crown Heights
12973363	Prospect Heights
14219515	East Harlem
521522	Park Slope
7206191	Harlem
14021937	
9696560	Astoria
4060446	Inwood
1832223	Astoria
6812924	Astoria
1832210	East Village
4453636	East Harlem
11400460	Bedford-Stuyvesant
14152966	East Harlem
14021898	Upper West Side
10089727	
3929317	Astoria
4715740	Harlem
521447	Brooklyn Heights
4977906	Bedford-Stuyvesant
11527477	Bushwick
4060400	Williamsburg
14677233	Richmond Hill
2094314	Greenwich Village
9172192	Hell's Kitchen
6026467	Flatbush
10089694	East Harlem
9371171	East Harlem
1832148	Murray Hill
11924694	West Village
8628430	Flatbush
14808279	Williamsburg
13235417	Soho
2094286	Fort Greene
1725295	Murray Hill
14808260	Battery Park City
12448972	
10613950	Ridgewood
14939325	
7206075	Hell's Kitchen
8016747	Lower East Side
8254640	Bedford-Stuyvesant
6684189	Clinton Hill
